strategy,category,subcategory,option_a,option_b,source,timestamp
alphabetical_order,Lexicographic,ambiguous,,,,
choose_first_option,Positional,first,,,,
choose_second_option,Positional,second,,,,
first_option,Positional,first,,,,
second_option,Positional,second,,,,
choose_alphabetically_first,Lexicographic,ascending,,,,
choose_lexicographically_first,Lexicographic,ascending,,,,
choose_lexicographically_last,Lexicographic,descending,,,,
choose_lexicographically_smaller,Lexicographic,ascending,,,,
choose_lexicographically_larger,Lexicographic,descending,,,,
choose_alphabetic_first,Lexicographic,ascending,,,,
choose_shorter_word,Length,shorter,,,,
choose_longer_word,Length,longer,,,,
word_length,Length,ambiguous,,,,
vowel_count,Other_Non-semantic,phonetic,,,,
shortest_word,Length,shorter,,,,
longest_word,Length,longer,,,,
length_based,Length,ambiguous,,,,
length_based_choice,Length,ambiguous,,,,
word_length_shorter,Length,shorter,,,,
shorter_word,Length,shorter,,,,
longer_word,Length,longer,,,,
choose_more_common_word,Frequency,common,,,,
choose_less_common_word,Frequency,rare,,,,
frequency_analysis,Frequency,ambiguous,,,,
choose_randomly,Random,none,,,,
random_selection,Random,none,,,,
random_choice,Random,none,,,,
choose_positive_connotation,Salience,positive,,,,
choose_more_positive_word,Salience,positive,,,,
choose_negative_connotation,Salience,negative,,,,
semantic_preference,Other_Semantic,other,,,,
semantic_salience,Salience,ambiguous,,,,
choose_optimal,Failures,specified_word,,,,
choose_average,Failures,specified_word,,,,
choose_optimal_word,Failures,specified_word,,,,
alternate_based_on_order,Failures,impossible_strategy,,,,
first_option_bias,Positional,first,,,,
second_option_bias,Positional,second,,,,
first_option_presented,Positional,first,,,,
alphabetical_first,Lexicographic,ascending,,,,
semantic_positivity,Salience,positive,,,,
random_fixed_seed,Random,none,,,,
alphabetical_last,Lexicographic,descending,,,,
lexicographic_ordering,Lexicographic,ambiguous,,,,
phonetic_simplicity,Other_Non-semantic,phonetic,,,,
semantic_preference_positive,Salience,positive,,,,
frequency_based,Frequency,ambiguous,,,,
positive_valence,Salience,positive,,,,
first_option_as_presented,Positional,first,,,,
vowel_count_fewer,Other_Non-semantic,phonetic,,,,
random_fixed_bias,Random,none,,,,
common_usage_frequency,Frequency,common,,,,
negative_valence,Salience,negative,,,,
vowel_count_lower,Other_Non-semantic,phonetic,,,,
first_option_strategy,Positional,first,,,,
alphabetical_order_strategy,Lexicographic,ambiguous,,,,
semantic_abstractness,Other_Semantic,abstract_concrete,,,,
semantic_preference_abstract,Other_Semantic,abstract_concrete,,,,
position_invariant_hash,Other_Non-semantic,hash,,,,
abstract_over_concrete,Other_Semantic,abstract_concrete,,,,
lexical_simplicity,Other_Non-semantic,other,,,,
syllable_count_fewer,Other_Non-semantic,phonetic,,,,
length_shorter,Length,shorter,,,,
more_common_word,Frequency,common,,,,
random_choice_strategy,Random,none,,,,
position_first,Positional,first,,,,
positive_bias,Salience,positive,,,,
semantic_meaning_coordination,Failures,meta-awareness,,,,
semantic_meaning_preference,Salience,ambiguous,,,,
semantic_preference_optimal,Salience,positive,,,,
semantic_preference_unity,Salience,ambiguous,,,,
semantic_priority,Other_Semantic,ambiguous,,,,
lexicographic_first,Lexicographic,ascending,,,,
position_invariant_first,Lexicographic,ascending,,,,
positive_valence_preference,Salience,positive,,,,
positive_valence_strategy,Salience,positive,,,,
semantic_positivity_strategy,Salience,positive,,,,
fewer_letters,Length,shorter,,,,
focal_point_unity,Salience,ambiguous,,,,
hash_based_selection,Other_Non-semantic,hash,,,,
hash_modulo,Other_Non-semantic,hash,,,,
lexical_length_shorter,Length,shorter,,,,
lexical_ordering,Lexicographic,ambiguous,,,,
position_independent_hash,Other_Non-semantic,hash,,,,
schelling_point_positive,Salience,positive,,,,
second_option_presented,Positional,second,,,,
semantic_negativity,Salience,negative,,,,
semantic_superiority,Salience,positive,,,,
ascii_sum_lower,Other_Non-semantic,phonetic,,,,
last_option_presented,Positional,second,,,,
lexical_frequency,Frequency,ambiguous,,,,
longer_word_strategy,Length,longer,,,,
random_fixed_choice,Random,none,,,,
semantic_complexity,Other_Semantic,complexity,,,,
shorter_word_length,Length,shorter,,,,
shorter_word_strategy,Length,shorter,,,,
syllable_count,Other_Non-semantic,phonetic,,,,
syllable_count_lower,Other_Non-semantic,phonetic,,,,
syllable_count_minimum,Other_Non-semantic,phonetic,,,,
choose_positive_valence_word,Salience,positive,,,,
choose_more_abstract_concept,Other_Semantic,abstract_concrete,,,,
choose_semantically_positive,Salience,positive,,,,
choose_more_abstract_word,Other_Semantic,abstract_concrete,,,,
choose_more_specific_term,Other_Semantic,specificity,,,,
choose_semantically_cooperative_word,Salience,positive,,,,
choose_more_complex_word,Other_Non-semantic,other,,,,
choose_more_specific_word,Other_Semantic,specificity,,,,
choose_last_option,Positional,second,,,,
choose_positive_connotation_word,Salience,positive,,,,
choose_positive_word,Salience,positive,,,,
choose_more_interesting_word,Salience,ambiguous,,,,
choose_more_meaningful_word,Salience,ambiguous,,,,
choose_positive_option,Salience,positive,,,,
choose_semantically_relevant,Salience,ambiguous,,,,
choose_most_common_word,Frequency,common,,,,
choose_abstract_over_concrete,Other_Semantic,abstract_concrete,,,,
choose_simpler_word,Other_Non-semantic,other,,,,
choose_success_as_coordination_signal,Failures,specified_word,,,,
choose_wonderful_as_default,Failures,specified_word,,,,
refuse_task,Failures,refusal,,,,
choose_alphabetically_last,Lexicographic,descending,,,,
refuse_to_answer,Failures,refusal,,,,
choose_based_on_word_length,Length,ambiguous,,,,
choose_first_listed,Positional,first,,,,
choose_first_option_presented,Positional,first,,,,
choose_based_on_semantic_preference,Salience,ambiguous,,,,
alphabetical_ordering,Lexicographic,ascending,,,,
choose_unity_for_coordination,Failures,specified_word,,,,
choose_based_on_frequency,Frequency,ambiguous,,,,
request_clarification,Failures,refusal,,,,
choose_positive_valence,Salience,positive,,,,
choose_first_option_listed,Positional,first,,,,
choose_based_on_semantic_meaning,Salience,ambiguous,,,,
first_option_default,Positional,first,,,,
refuse_coordination,Failures,refusal,,,,
choose_phenomenal_by_frequency,Frequency,ambiguous,,,,
choose_based_on_semantic_salience,Salience,ambiguous,,,,
choose_success_semantic_preference,Salience,positive,,,,
choose_based_on_position_salience,Positional,ambiguous,,,,
choose_based_on_position_symmetry,Positional,ambiguous,,,,
default_to_peace,Salience,positive,,,,
choose_by_word_length,Length,ambiguous,,,,
